description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
 fan fillet,raw,Emu,100,103,0.8,0.2,71,120,0,13,0,7.397,2.708,0.451,0.267,0,0,0,0,0,0,0,6.67,0.634,0,0.22,0.22,0,3,0.211,4.5,42,0.029,236,300,32.5,3.5,22.5,0.875,1.013,1.958,0.163,2.197,0.708,0.493,0.147,0.731,1.242,1.324,0.4270.642,0.912,0.535,0.645,0.149,0.48,0.749,0,0,0,0,0,0,0,0,0,0.8,0.201,0.319,0.109,71,0,1.1,0,0,74.62,,
,raw,Spices,100,333,15,0.6,0,17,24.7,10,0,3.606,0,0.379,0.383,363,18,8,206,16,454,0,0,0.36,21.00.00,2.5,2.5,0,689,0.91,16.23,258,1.3,568,1351,12.1,5.5,19.77,0.914,1.252,2.084,0.329,3.169,1.322,0.55,0,0.826,1.218,1.031,0.3610.867,0.917,0.946,0.756,0.244,0.642,1.037,49.9,38,0.64,0,0,0,0,0,0,14.59,0.62,7.125,3.272,0,0,5.87,0,0,9.87,,
 sablefish,raw,Fish,100,195,15,3.2,49,56,0,15,0,4,0.75,0.09,0.1,310,93,0,0,0,0,0,1.5,0.3,0,0,0,0,35,0.022,1.28,55,0.015,168,358,36.5,0.32,13.41,0.811,0.803,1.373,0.144,2.002,0.644,0.395,0,0.618,1.09,1.232,0.3970.524,0.474,0.547,0.588,0.15,0.453,0.691,0,0,0,0,0,0,0,0,0,15.3,3.201,8.057,2.042,49,0,1.05,0,0,71.02,,
,raw,Sesbania flower,100,27,0,,0,15,0,102,0,0.43,0,0.081,0.083,0,0,0,0,0,0,0,0,0,73.00.00,0,0,0,19,0,0.84,12,0,30,184,0.9,0,1.28,0,0.07,0,0.013,0,0,0.026,0,0.068,0.106,0.064,0.0160.070,0,0,0.057,0.019,0,0.078,6.73,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.38,0,0,91.58,,
 sweet,raw,Cherries,100,63,0.2,,0,0,6.1,4,0,0.154,0.199,0.033,0.027,64,3,0,38,0,85,0,0,0.049,7.00.00,0.07,0.07,2.1,13,0.06,0.36,11,0.07,21,222,0,0.07,1.06,0.026,0.018,0.569,0.01,0.083,0.023,0.015,0,0.02,0.03,0.032,0.0100.024,0.039,0.03,0.022,0.009,0.014,0.024,16.01,2.1,12.82,5.37,0.59,6.59,0,0.12,0.15,0.2,0.038,0.047,0.052,0,0,0.48,0,0,82.25,,
round,raw,Ostrich,100,165,8.7,2.2,71,72,0,7,0,4.377,1.08,0.267,0.182,0,0,0,0,0,0,0,4.61,0.475,0,0.24,0.24,0,7,0.128,2.91,20,0.017,199,291,33,3.51,20.22,1.297,1.383,1.891,0.208,3.099,1.351,0.508,0.361,0.961,1.643,1.785,0.5650.834,1.054,0.809,0.887,0.18,0.657,0.998,0,0,0,0,0,0,0,0,0,8.7,2.177,2.654,0.91,71,0,0.73,0,0,71.07,,
 yellow,raw,Peaches,100,39,0.3,,0,0,6.1,4,0,0.806,0.153,0.031,0.024,326,16,0,162,67,91,0,0,0.025,6.60.00,0.73,0.73,2.6,6,0.068,0.25,9,0.061,20,190,0.1,0.17,0.91,0.028,0.018,0.418,0.012,0.056,0.021,0.013,0,0.017,0.027,0.03,0.0100.019,0.018,0.032,0.016,0.01,0.014,0.022,9.54,1.5,8.39,1.53,0.06,1.95,0,0.08,4.76,0.25,0.019,0.067,0.086,0,0,0.43,0,0,88.87,,
round,raw,Chicken,100,143,8.1,2.3,86,60,58.8,1,0,5.575,1.092,0.241,0.109,0,0,0,0,0,0,0,0.56,0.512,0,0.27,0.27,0.8,6,0.065,0.82,21,0.016,178,522,10.2,1.47,17.44,0.991,1.128,1.616,0.188,2.611,0.838,0.529,0.094,0.794,1.361,1.509,0.4460.683,0.658,0.731,0.727,0.147,0.604,0.826,0.04,0,0,0,0,0,0,0,0,8.1,2.301,3.611,1.508,86,0,1.17,0,0,73.24,,
,raw,Toppings,100,254,0.1,,0,21,9.8,6,0,0.161,0.048,0.024,0.011,18,1,0,9,0,9,0,0,0.012,13.70.00,0.1,0.1,0.7,6,0.032,0.28,4,0.167,5,51,0.8,0.06,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3,0.7,27.38,0,0,0,0,0,0,0.1,0.005,0.014,0.05,0,0,0.4,0,0,33,,
 wakame,raw,Seaweed,100,45,0.6,0.1,0,872,13.9,196,0,1.6,0.697,0.23,0.06,360,18,0,216,0,0,0,0,0.002,3.00.00,1,1,5.3,150,0.284,2.18,107,1.4,80,50,0.7,0.38,3.03,0.136,0.092,0.179,0.028,0.199,0.112,0.015,0,0.087,0.257,0.112,0.0630.112,0.092,0.078,0.165,0.035,0.049,0.209,9.14,0.5,0.65,0,0,0,0,0,0,0.64,0.13,0.058,0.218,0,0,7.2,0,0,79.99,,
,raw,Amaranth leaves,100,23,0.3,0.1,0,20,0,85,0,0.658,0.064,0.158,0.027,2917,146,0,0,0,0,0,0,0.192,43.30.00,0,0,1140,215,0.162,2.32,55,0.885,50,611,0.9,0.9,2.46,0.139,0.121,0.229,0.029,0.292,0.132,0.052,0,0.119,0.195,0.127,0.0360.133,0.121,0.111,0.099,0.031,0.08,0.137,4.02,0,0,0,0,0,0,0,0,0.33,0.091,0.076,0.147,0,0,1.5,0,0,91.69,,
 pearled,raw,Barley,100,352,1.2,0.2,0,9,37.8,23,0,4.604,0.282,0.114,0.191,22,1,0,13,0,160,0,0,0.26,0.00.00,0.02,0.02,2.2,29,0.42,2.5,79,1.322,221,280,37.7,2.13,9.91,0.386,0.496,0.619,0.219,2.588,0.359,0.223,0,0.362,0.673,0.369,0.1900.556,1.178,0.418,0.337,0.165,0.284,0.486,77.72,15.6,0.8,0,0,0,0,0,0,1.16,0.244,0.149,0.56,0,0,1.11,0,0,10.09,,
 oyster,raw,Ostrich,100,125,3.7,1.2,73,83,0,8,0,4.665,1.151,0.284,0.194,0,0,0,0,0,0,0,4.91,0.507,0,0.2,0.2,0,6,0.131,3.86,21,0.017,204,297,33.8,3.59,21.55,1.383,1.474,2.016,0.221,3.303,1.44,0.541,0.385,1.024,1.751,1.903,0.6020.889,1.123,0.862,0.945,0.192,0.701,1.064,0,0,0,0,0,0,0,0,0,3.67,1.22,1.25,0.61,73,0,0.62,0,0,75.62,,
,raw,Pumpkin flowers,100,15,0.1,,0,5,0,59,0,0.69,0,0.075,0.042,1947,97,0,0,0,0,0,0,0,28.00.00,0,0,0,39,0,0.7,24,0,49,173,0.7,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0.07,0.036,0.009,0.004,0,0,0.48,0,0,95.15,,
,raw,Tangerine juice,100,43,0.2,,0,1,6.2,5,0,0.1,0.125,0.02,0.06,253,13,14,38,214,166,0,0,0.042,31.00.00,0.13,0.13,0,18,0.025,0.2,8,0.037,14,178,0.1,0.03,0.5,0.011,0.034,0.053,0.004,0.024,0.007,0.002,0,0.005,0.01,0.007,0.0020.006,0.031,0.009,0.006,0.001,0.003,0.008,10.1,0.2,9.9,0,0,0,0,0,0,0.2,0.024,0.036,0.04,0,0,0.3,0,0,88.9,,
reen,raw,Soybeans,100,147,6.8,0.8,0,15,0,165,0,1.65,0.147,0.175,0.435,180,9,0,0,0,0,0,0,0.065,29.00.00,0,0,0,197,0.128,3.55,65,0.547,194,620,1.5,0.99,12.95,0.582,1.042,1.508,0.118,2.433,0.539,0.348,0,0.57,0.926,0.775,0.1570.586,0.607,0.721,0.516,0.157,0.464,0.576,11.05,4.2,0,0,0,0,0,0,0,6.8,0.786,1.284,3.2,0,0,1.7,0,0,67.5,,
 bear,raw,Game meat,100,161,8.3,,0,0,0,0,0,3.2,0,0.68,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6.65,0,0,151,0,8.3,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0.7,0,0,71.2,,
 deer,raw,Game meat,100,120,2.4,1,85,51,0,4,0,6.37,0,0.48,0.22,0,0,0,0,0,0,0,6.31,0.37,0,0.2,0.2,1.1,5,0.253,3.4,23,0.041,202,318,9.7,2.09,22.96,1.433,1.653,2.13,0.257,3.336,1.175,1.135,0,0.908,1.951,2.006,0.5660.937,1.183,0.974,1.08,0,0.812,1.073,0,0,0,0,0,0,0,0,0,2.42,0.95,0.67,0.47,85,0,1.16,0,0,73.57,,
 swordfish,raw,Fish,100,144,6.7,1.6,66,81,65,2,0,7.76,0.35,0.053,0.075,120,36,0,0,0,0,0,1.7,0.543,0.0558.00,2.02,2.02,0.1,5,0.039,0.38,29,0.011,255,418,57.4,0.66,19.66,1.198,1.185,2.028,0.212,2.956,0.95,0.583,0,0.912,1.609,1.818,0.5860.773,0.7,0.808,0.868,0.222,0.668,1.02,0,0,0,0,0,0,0,0,0,6.65,1.602,2.971,1.147,66,0,1.44,0,0,73.38,,
 tahitian,raw,Taro,100,44,1,0.2,0,50,0,9,0,0.995,0.124,0.244,0.062,2045,102,0,0,0,0,0,0,0.116,96.00.00,0,0,0,129,0.071,1.3,47,0.157,45,606,0.7,0.09,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,0,0,0,0,0,0,0,0,0.97,0.197,0.078,0.4,0,0,1.38,0,0,87.96,,
,raw,Chicoryreens,100,23,0.3,0.1,0,45,12.8,110,0,0.5,1.159,0.1,0.06,5717,286,0,3430,0,10300,0,0,0.105,24.00.00,2.26,2.26,297.6,100,0.295,0.9,30,0.429,47,420,0.3,0.42,1.7,0,0.124,0,0,0,0,0.029,0,0.101,0.074,0.067,0.0100.041,0,0,0.047,0.031,0,0.077,4.7,4,0.7,0,0,0,0,0,0,0.3,0.073,0.006,0.131,0,0,1.3,0,0,92,,
,raw,Hearts of palm,100,115,0.2,,0,14,0,24,0,0.9,0,0.18,0.05,68,3,0,41,0,0,0,0,0.81,8.00.00,0.5,0.5,0,18,0.644,1.69,10,0,140,1806,0.7,3.73,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.61,1.5,17.16,0,0,0,0,0,0,0.2,0.046,0.005,0.089,0,0,1.99,0,0,69.5,,
 fruit,raw,Chayote,100,19,0.1,,0,2,9.2,93,0,0.47,0.249,0.029,0.025,0,0,0,0,0,0,0,0,0.076,7.70.00,0.12,0.12,4.1,17,0.123,0.34,12,0.189,18,125,0.2,0.74,0.82,0.051,0.035,0.092,0,0.125,0.041,0.015,0,0.044,0.077,0.039,0.0010.047,0.044,0.047,0.04,0.011,0.032,0.063,4.51,1.7,1.66,0,0,0,0,0,0,0.13,0.028,0.01,0.057,0,0,0.3,0,0,94.24,,
 milkfish,raw,Fish,100,148,6.7,1.7,52,72,0,16,0,6.44,0.75,0.054,0.013,100,30,0,0,0,0,0,3.4,0.423,0,0,0,0,51,0.034,0.32,30,0.02,162,292,12.6,0.82,20.53,1.242,1.229,2.102,0.22,3.065,0.986,0.604,0,0.946,1.669,1.886,0.6080.802,0.726,0.838,0.9,0.23,0.693,1.058,0,0,0,0,0,0,0,0,0,6.73,1.66,2.58,1.84,52,0,1.14,0,0,70.85,,
 monkfish,raw,Fish,100,76,1.5,0.3,25,18,0,7,0,2.1,0.15,0.06,0.025,40,12,0,0,0,0,0,0.9,0.24,1,0,0,0,8,0.028,0.32,21,0.024,200,400,36.5,0.41,14.48,0.876,0.867,1.483,0.155,2.162,0.695,0.426,0,0.667,1.177,1.33,0.4290.565,0.512,0.591,0.635,0.162,0.489,0.746,0,0,0,0,0,0,0,0,0,1.52,0.34,0.24,0.61,25,0,1.21,0,0,83.24,,
 common,raw,Guavas,100,68,1,0.3,0,2,7.6,49,0,1.084,0.451,0.04,0.067,624,31,0,374,0,0,0,0,0.11,228.30.00,0.73,0.73,2.6,18,0.23,0.26,22,0.15,40,417,0.6,0.23,2.55,0.128,0.065,0.162,0,0.333,0.128,0.022,0,0.093,0.171,0.072,0.0160.006,0.078,0.075,0.096,0.022,0.031,0.087,14.32,5.4,8.92,0,0,0,0,0,0,0.95,0.272,0.087,0.401,0,0,1.39,0,0,80.8,,
 full rump,raw,Emu,100,112,1.6,0.4,85,90,0,13,0,7.504,2.747,0.458,0.36,15,4,0,0,0,0,0,2.24,0.643,0,0.23,0.23,0,4,0.211,4.96,40,0.029,236,330,32.5,3.59,22.83,0.887,1.027,1.986,0.165,2.228,0.719,0.5,0.149,0.742,1.26,1.343,0.4330.651,0.925,0.543,0.654,0.151,0.487,0.76,0,0,0,0,0,0,0,0,0,1.64,0.448,0.516,0.329,85,0,1.14,0,0,73.79,,
,raw,Mustardreens,100,27,0.4,,0,20,0.5,12,0,0.8,0.21,0.11,0.08,3024,151,10,1790,40,3730,0,0,0.18,70.00.00,2.01,2.01,257.5,115,0.165,1.64,32,0,58,384,0.9,0.25,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,3.2,1.32,0,0,0,0,0,0,0.42,0.01,0.092,0.038,0,0,1.36,0,0,90.7,,
 laver,raw,Seaweed,100,35,0.3,0.1,0,48,10.4,146,0,1.47,0.521,0.446,0.098,5202,260,0,3121,0,0,0,0,0.159,39.00.00,1,1,4,70,0.264,1.8,2,0.988,58,356,0.7,1.05,5.81,0.651,0.285,0.567,0.1,0.547,0.363,0.14,0,0.259,0.501,0.222,0.1450.273,0.251,0.299,0.232,0.043,0.254,0.402,5.11,0.3,0.49,0,0,0,0,0,0,0.28,0.061,0.025,0.11,0,0,3.77,0,0,85.03,,
 elk,raw,Game meat,100,111,1.5,0.5,55,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.12,2.76,23,0.012,161,312,9.8,2.4,22.95,1.441,1.575,2.251,0,3.651,0.974,0.733,0,0.74,1.935,2.131,0.5510.910,0.992,1.002,0.999,0.414,0.822,0.81,0,0,0,0,0,0,0,0,0,1.45,0.53,0.36,0.3,55,0,1,0,0,74.38,,
 round,raw,Ostrich,100,116,2.4,0.8,71,72,0,8,0,4.761,1.175,0.29,0.198,0,0,0,0,0,0,0,5.01,0.517,0,0.2,0.2,0,5,0.139,3.54,22,0.018,216,315,35.8,3.8,21.99,1.411,1.504,2.057,0.226,3.371,1.47,0.552,0.392,1.045,1.787,1.942,0.6150.908,1.146,0.88,0.965,0.196,0.715,1.086,0,0,0,0,0,0,0,0,0,2.4,0.81,0.85,0.52,71,0,0.62,0,0,75.68,,
 mahimahi,raw,Fish,100,85,0.7,0.2,73,88,0,5,0,6.1,0.75,0.07,0.02,180,54,0,0,0,0,0,0.6,0.4,0,0,0,0,15,0.041,1.13,30,0.015,143,416,36.5,0.46,18.5,1.119,1.107,1.894,0.198,2.762,0.888,0.545,0,0.852,1.504,1.699,0.5480.722,0.654,0.755,0.811,0.207,0.625,0.953,0,0,0,0,0,0,0,0,0,0.7,0.188,0.121,0.165,73,0,2.1,0,0,77.55,,
 bluefish,raw,Fish,100,124,4.2,0.9,59,60,0,2,0,5.95,0.828,0.08,0.058,398,120,0,0,0,0,0,5.39,0.402,0,0,0,0,7,0.053,0.48,33,0.021,227,372,36.5,0.81,20.04,1.212,1.199,2.052,0.215,2.991,0.962,0.59,0,0.923,1.629,1.84,0.5930.782,0.709,0.818,0.878,0.224,0.676,1.032,0,0,0,0,0,0,0,0,0,4.24,0.915,1.793,1.06,59,0,1.04,0,0,70.86,,
 banana,raw,Pepper,100,27,0.5,,0,13,7.4,29,0,1.242,0.265,0.054,0.081,340,17,39,184,0,0,0,0,0.357,82.70.00,0.69,0.69,9.5,14,0.094,0.46,17,0.1,32,256,0.3,0.25,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,3.4,1.95,0,0,0,0,0,0,0.45,0.048,0.027,0.243,0,0,0.73,0,0,91.81,,
,raw,Drumstick pods,100,37,0.2,,0,42,0,44,0,0.62,0.794,0.074,0.053,74,4,0,0,0,0,0,0,0.12,141.00.00,0,0,0,30,0.084,0.36,45,0.259,50,461,0.7,0.45,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,3.2,0,0,0,0,0,0,0,0.2,0.033,0.102,0.003,0,0,0.97,0,0,88.2,,
,raw,Pumpkin leaves,100,19,0.4,0.2,0,11,0,36,0,0.92,0.042,0.128,0.094,1942,97,0,0,0,0,0,0,0.207,11.00.00,0,0,0,39,0.133,2.22,38,0.355,104,436,0.9,0.2,3.15,0,0.217,0,0.032,0,0,0.05,0,0.156,0.318,0.2,0.0540.171,0,0,0.156,0.041,0.156,0.181,2.33,0,0,0,0,0,0,0,0,0.4,0.207,0.052,0.022,0,0,1.24,0,0,92.88,,
 casaba,raw,Melons,100,28,0.1,,0,9,7.6,8,0,0.232,0.084,0.031,0.015,0,0,0,0,0,26,0,0,0.163,21.80.00,0.05,0.05,2.5,11,0.06,0.34,11,0.035,5,182,0.4,0.07,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58,0.9,5.69,0,0,0,0,0,0,0.1,0.025,0.002,0.039,0,0,0.36,0,0,91.85,,
 tilefish,raw,Fish,100,96,2.3,0.4,50,53,0,15,0,2.9,0.75,0.16,0.12,60,18,0,0,0,0,0,2.2,0.26,0,0,0,0,26,0.041,0.25,28,0.01,187,433,36.5,0.37,17.5,1.058,1.047,1.792,0.188,2.612,0.84,0.515,0,0.806,1.422,1.607,0.5180.683,0.619,0.714,0.767,0.196,0.591,0.902,0,0,0,0,0,0,0,0,0,2.31,0.441,0.571,0.599,50,0,1.14,0,0,78.9,,
 savoy,raw,Cabbage,100,27,0.1,,0,28,12.3,80,0,0.3,0.187,0.03,0.07,1000,50,0,600,0,77,0,0,0.19,31.00.00,0.17,0.17,68.8,35,0.062,0.4,28,0.18,42,230,0.9,0.27,2,0.07,0.114,0.197,0.017,0.445,0.044,0.041,0,0.101,0.103,0.094,0.0200.064,0.393,0.116,0.069,0.02,0.034,0.085,6.1,3.1,2.27,0,0,0,0,0,0,0.1,0.013,0.007,0.049,0,0,0.8,0,0,91,,
 tilapia,raw,Fish,100,96,1.7,0.6,50,52,42.5,24,0,3.903,0.487,0.063,0.041,0,0,0,0,0,0,0,1.58,0.162,0.0124.00,0.4,0.4,1.4,10,0.075,0.56,27,0.037,170,302,41.8,0.33,20.08,1.22,1.277,2.297,0.22,3.213,1.043,0.47,0,0.93,1.603,1.81,0.5930.810,0.757,0.813,0.95,0.21,0.68,0.97,0,0,0,0,0,0,0,0,0,1.7,0.585,0.498,0.363,50,0,0.93,0,0,78.08,,
,raw,Broccoli raab,100,22,0.5,0.1,0,33,18.3,83,0,1.221,0.322,0.129,0.162,2622,131,0,1573,0,1121,0,0,0.171,20.20.00,1.62,1.62,224,108,0.042,2.14,22,0.395,73,196,1,0.77,3.17,0.124,0.172,0.36,0.039,0.549,0.123,0.066,0,0.104,0.17,0.198,0.0480.128,0.131,0.099,0.106,0.043,0.075,0.153,2.85,2.7,0.38,0.17,0,0.1,0,0,0.11,0.49,0.05,0.026,0.13,0,0,0.93,0,0,92.55,,
reen,raw,Turtle,100,89,0.5,0.1,50,68,65,15,0,1.1,0,0.15,0.12,100,30,0,0,0,0,0,1,0.12,0.00.00,0.5,0.5,0.1,118,0.25,1.4,20,0,180,230,16.8,1,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.127,0.088,0.17,50,0,1.2,0,0,78.5,,
,raw,Chicory roots,100,72,0.2,,0,50,0,23,0,0.4,0.323,0.03,0.04,6,0,0,0,0,0,0,0,0.241,5.00.00,0,0,0,41,0.077,0.8,22,0.233,61,290,0.7,0.33,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,1.5,8.73,0,0,0,0,0,0,0.2,0.048,0.004,0.087,0,0,0.89,0,0,80,,
,raw,Prickly pears,100,41,0.5,0.1,0,5,0,6,0,0.46,0,0.06,0.014,43,2,0,25,3,0,0,0,0.06,14,0,0,0,56,0.08,0.3,85,0,24,220,0.6,0.12,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,3.6,0,0,0,0,0,0,0,0.51,0.067,0.075,0.213,0,0,1.64,0,0,87.55,,
 haddock,raw,Fish,100,74,0.5,0.1,54,213,65,12,0,3.363,0.403,0.057,0.02,57,17,0,0,0,0,0,1.83,0.281,0.018.00,0.45,0.45,0.1,11,0.021,0.17,21,0.011,227,286,25.9,0.32,16.32,1.143,1.131,1.936,0.203,2.822,0.908,0.557,0,0.871,1.537,1.736,0.5600.738,0.669,0.771,0.829,0.212,0.638,0.974,0,0,0,0,0,0,0,0,0,0.45,0.091,0.061,0.166,54,0,1.28,0,0,83.38,,
,raw,Ground turkey,100,148,7.7,2,69,58,50.8,7,0,6.733,0.993,0.156,0.066,66,20,0,0,0,0,0,1,0.564,0.014.00,0.09,0.09,0,19,0.096,1.09,23,0.008,200,237,21.9,2.35,19.66,1.223,1.426,1.897,0.208,3.144,1.075,0.582,0.163,0.88,1.622,1.757,0.5780.765,0.869,0.835,0.901,0.223,0.696,0.91,0,0,0,0,0,0,0,0,0,7.66,2.024,2.635,2.205,69,0,1,0,0,72.36,,
 baby,raw,Carrots,100,35,0.1,,0,78,7.5,27,0,0.556,0.401,0.036,0.03,13790,690,3767,6391,0,358,0,0,0.105,2.60.00,0,0,9.4,32,0.1,0.89,10,0.151,28,237,0.9,0.17,0.64,0.048,0.035,0.112,0.007,0.165,0.024,0.013,0,0.034,0.035,0.033,0.0060.026,0.024,0.028,0.031,0.009,0.016,0.036,8.24,2.9,4.76,1,0,1.04,0,0,2.72,0.13,0.023,0.007,0.065,0,0,0.63,0,0,90.35,,
,raw,Acerola juice,100,23,0.3,0.1,0,3,0,14,0,0.4,0.205,0.06,0.02,509,25,0,305,0,17,0,0,0.004,1600,0.18,0.18,1.4,10,0.086,0.5,12,0,9,97,0.1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0.3,4.5,0,0,0,0,0,0,0.3,0.068,0.082,0.09,0,0,0.2,0,0,94.3,,
 potherb,raw,Jute,100,34,0.3,,0,8,0,123,0,1.26,0.072,0.546,0.133,5559,278,0,0,0,0,0,0,0.6,37.00.00,0,0,0,208,0.255,4.76,64,0.123,83,559,0.9,0.79,4.65,0.256,0.248,0.567,0.04,0.493,0.214,0.11,0,0.221,0.388,0.219,0.0650.212,0.246,0.182,0.164,0.03,0.147,0.248,5.8,0,0,0,0,0,0,0,0,0.25,0.038,0.017,0.12,0,0,1.58,0,0,87.72,,
 kelp,raw,Seaweed,100,43,0.6,0.2,0,233,12.8,180,0,0.47,0.642,0.15,0.05,116,6,0,70,0,0,0,0,0.002,3.00.00,0.87,0.87,66,168,0.13,2.85,121,0.2,42,89,0.7,1.23,1.68,0.122,0.065,0.125,0.098,0.268,0.1,0.024,0,0.076,0.083,0.082,0.0250.043,0.073,0.098,0.055,0.048,0.026,0.072,9.57,1.3,0.6,0,0,0,0,0,0,0.56,0.247,0.098,0.047,0,0,6.61,0,0,81.58,,
 agar,raw,Seaweed,100,26,0,,0,9,6,85,0,0.055,0.302,0.022,0.005,0,0,0,0,0,0,0,0,0.032,0.00.00,0.87,0.87,2.3,54,0.061,1.86,67,0.373,5,226,0.7,0.58,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0.5,0.28,0,0,0,0,0,0,0.03,0.006,0.003,0.01,0,0,1.36,0,0,91.32,,
 sweet,raw,Onions,100,32,0.1,,0,8,5.5,23,0,0.133,0.098,0.02,0.041,1,0,0,1,0,6,0,0,0.13,4.80.00,0.02,0.02,0.3,20,0.056,0.26,9,0.076,27,119,0.5,0.13,0.8,0.017,0.111,0.067,0.009,0.177,0.02,0.011,0,0.014,0.025,0.033,0.0090.024,0.015,0.02,0.018,0.009,0.012,0.02,7.55,0.9,5.02,2.02,0,2.26,0.02,0,0.72,0.08,0,0,0,0,0,0.34,0,0,91.24,,
 welsh,raw,Onions,100,34,0.4,0.1,0,17,5.3,16,0,0.4,0.169,0.09,0.05,1160,0,0,0,0,0,0,0,0.072,27.00.00,0.51,0.51,193.4,18,0.07,1.22,23,0.137,49,212,0.6,0.52,1.9,0.086,0.137,0.176,0,0.393,0.094,0.033,0,0.081,0.113,0.095,0.0210.061,0.126,0.086,0.074,0.021,0.055,0.084,6.5,2.4,2.18,0,0,0,0,0,0,0.4,0.067,0.056,0.156,0,0,0.7,0,0,90.5,,
 mamey,raw,Sapote,100,124,0.5,0.2,0,7,0,7,0,1.432,0.397,0.116,0.013,143,7,0,82,7,204,0,0,0.72,23,2.11,2.11,0,18,0.213,0.78,11,0.204,26,454,0,0.19,1.45,0.073,0.049,0.147,0.012,0.147,0.073,0.049,0,0.061,0.073,0.073,0.0240.061,0.085,0.195,0.085,0.049,0.049,0.073,32.1,5.4,20.14,7.66,0,8.01,0,0.38,4.09,0.46,0.169,0.102,0.097,0,0,1.12,0,0,64.87,,
,raw,Bamboo shoots,100,27,0.3,0.1,0,4,0,7,0,0.6,0.161,0.07,0.15,20,1,0,12,0,0,0,0,0.24,4.00.00,1,1,0,13,0.19,0.5,3,0.262,59,533,0.8,1.1,2.6,0.124,0.097,0.425,0.022,0.248,0.087,0.042,0,0.088,0.14,0.134,0.0300.090,0.219,0.127,0.086,0.027,0,0.106,5.2,2.2,3,0,0,0,0,0,0,0.3,0.069,0.007,0.134,0,0,0.9,0,0,91,,
 lingcod,raw,Fish,100,85,1.1,0.2,52,59,0,9,0,1.9,0.75,0.114,0.03,50,15,0,0,0,0,0,3.6,0.3,0,0,0,0,14,0.027,0.32,26,0.02,201,437,36.5,0.45,17.66,1.068,1.057,1.808,0.189,2.636,0.848,0.52,0,0.814,1.435,1.622,0.5230.689,0.624,0.72,0.774,0.198,0.596,0.91,0,0,0,0,0,0,0,0,0,1.06,0.197,0.35,0.3,52,0,1.21,0,0,81.03,,
,raw,Yardlong bean,100,47,0.4,0.1,0,4,0,62,0,0.41,0.055,0.11,0.107,865,43,0,0,0,0,0,0,0.024,18.80.00,0,0,0,50,0.048,0.47,44,0.205,59,240,1.5,0.37,2.8,0,0.196,0,0.042,0,0,0.09,0,0.15,0.2,0.184,0.0400.154,0,0,0.104,0.032,0.115,0.162,8.35,0,0,0,0,0,0,0,0,0.4,0.105,0.036,0.169,0,0,0.6,0,0,87.85,,
arden,raw,Cress,100,32,0.7,,0,14,19.5,80,0,1,0.242,0.26,0.08,6917,346,0,4150,0,12500,0,0,0.247,69.00.00,0.7,0.7,541.9,81,0.17,1.3,38,0.553,76,606,0.9,0.23,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1.1,4.4,0,0,0,0,0,0,0.7,0.023,0.239,0.228,0,0,1.8,0,0,89.4,,
